content,score
"Cansei. Desinstalei, agora em definitivo. No meu celular (A03) não funciona.",ruim
"Apesar da boa aparência do mapa e rua, a correspondência dos endereços no Brasil é terrivel. Já com os mapas específicos baixados, ele nao encontra endereços fáceis e ao mandar localizar pelo endereço cadastrado no contato, é um erro atras do outro. NÃO RECOMENDADO!",ruim
"O que houve com o suporte de voz? Mostra: "" Não disponível para esta versão. "" Como assim? Utilizo especificamente para ouvir a rotas via Bluetooth, pois ando de moto. E agora? Adoro ao app mas perdeu absolutamente a serventia para mim.",ruim
"Comprei a versão paga, mas para baixar os mapas off-line demora tanto que nem baixa. Baixa 3Mb em 4 horas! Vocês deveriam implementar uma forma de baixar os mapas no PC e transferir para o smartphone.",ruim
"Se você apagar um mapa por engano, o aplicativo não permite baixar de novo na versão gratuita. Você é obrigado à pagar para baixar um mapa que já possuía antes.",ruim
Eu instalei esse aplicativo aqui em Curitiba mas eles não está detectando os radares Então eu instalei esse aparelho aí de GPS e vocês me cobraram r$ 20 e o meu GPS não funciona aqui em Curitiba radares que foi instalado radar foi instalado o ano passado não funciona você pode você dá uma resposta dá uma resposta em português para que a gente fica por dentro[Support Team] Re: Eu adquiri este mapa e aqui em Curitiba e região ele não está mostrando os radares que já estão instalados desde o ano pa,ruim
"Mal comecei a usar, e já desinstalei. Saindo da garagem de casa, primeira curva e já indicou o sentido errado, pois a rua é mão única. Na sequência, não conseguiu recalcular a rota...",ruim
Até cheguei a achar bom até o dia que resolver descer pra caraguatatuba com ele me levando simplesmente ele fez eu perder a entrada na tamoios e tive que retornar e pagar 2 pedágio daí tirei na hora e usei o MAPS daí foi joia,ruim
Se arrumar a pesquisa de endereço deixar mais preciso para achar as ruas igual no google maps eu usaria sem medo esse app mas infelizmente nao acha ruas simples com apenas nome e numero,ruim
"Em geral bom, o que me fez desinstalar foi ele pedir pra fazer uma conversão proibida a esquerda numa esquina. Não confiei nele pra evitar entrar em via em contramão e sobre indicações de trânsito.",ruim
Fiz a assinatura e cancelei agora só dá erro já desinstalei e instalei e nada. Parece que não aceita voltar para o gratuito,ruim
"Sugestão: atualizem para que leia trilhas em extensão kml que é a extensao do google heart. assim como o oruxmaps que aceitas todas extensãos como: KMLZ, KMZ, GPX E OUTRAS",ruim
"Não funciona no Brasil, me mandou 3 vezes entrar na contramão e não consegue achar o nome de nenhuma loja.",ruim
"GPS ruim, falhou muito nas minhas rotas, sem falar que no Android auto só pode usar poucas vezes, depois começa pedir pra comprar pra utilizar.",ruim
Ele é bom mais deixa a desejar fica saindo toda hora... as vezes atraso as entregas esperando ele reanimar,ruim
Não consegui fazer lo funcionar.... Muito confuso para usar...tentei várias vezes e ele não fazia o trajeto...,ruim
"Nossa é uma droga, muito ruim de Navegar nele, muita poluição só tem um tipo de Rota curta ou rápida. A não recomendo",ruim
"O aplicativo fecha durante o uso, interrompendo a navegação.",ruim
"Não funciona, não encontra minha posição, tenho que digitar meu endereço atual pra poder gerar uma rota",ruim
muito difícil de mexer o mapa não fica no sentido certo a seta tem hora que fica pra baixo muito horrível,ruim
Uma importante base de mapas num aplicativo que não gosta de... usuários!,ruim
"0. Criasse uma rota e depois não se consegue segue ir buscá-la, aparece outra coisa.",ruim
Lixo você coloca o nome da rua e o app não acha ecaaaaaaa,ruim
