ACELERÔMETRO X (m/s²);ACELERÔMETRO Y (m/s²);ACELERÔMETRO Z (m/s²);GRAVIDADE X (m/s²);GRAVIDADE Y (m/s²);GRAVIDADE Z (m/s²);ACELERAÇÃO LINEAR X (m/s²);ACELERAÇÃO LINEAR Y (m/s²);ACELERAÇÃO LINEAR Z (m/s²);GIROSCÓPIO X (rad/s);GIROSCÓPIO Y (rad/s);GIROSCÓPIO Z (rad/s);LUZ (lux);PROXIMIDADE (m);NÍVEL DO SOM (dB);LOCALIZAÇÃO Latitude : ;LOCALIZAÇÃO Longitude : ;LOCALIZAÇÃO Altitude ( m);LOCALIZAÇÃO Altitude-google ( m);LOCALIZAÇÃO Velocidade ( Metros por segundo);LOCALIZAÇÃO Precisão ( m);LOCALIZAÇÃO ORIENTAÇÃO (°);Satélite dentro do Alcance;Tempo desde o início, em m/s ;YYYY-MO-DD HH-MI-SS_SSS
20.047;24.892;94.571;20.228;22.598;93.259;0.2384;0.1583;0.0275;0.0964;0.015;0.3718;13848.6;5.0;61.838;-2.544.956;-49.234.924;914.6;NaN;;26.5;;13 / 17;384509;2023-06-30 10:42:48:855
18.424;29.159;90.819;2.1;25.002;92.471;-0.2792;0.3395;-0.0732;0.0543;0.0177;0.1882;13848.6;5.0;64.723;-2.544.956;-49.234.924;914.6;NaN;;26.5;;13 / 17;385010;2023-06-30 10:42:49:356
20.245;25.967;94.454;21.462;26.547;91.933;-0.0698;-0.0982;0.118;0.1222;-0.1037;0.1129;13848.6;5.0;54.008;-2.544.956;-49.234.924;914.6;NaN;;26.5;;dez/16;385509;2023-06-30 10:42:49:855
23.485;25.817;97.382;21.199;28.568;91.386;0.1566;-0.0575;-0.0554;0.1095;0.1048;0.1542;13848.6;5.0;52.495;-2.544.956;-49.234.924;914.6;NaN;;26.5;;dez/16;386008;2023-06-30 10:42:50:354
22.446;32.093;95.011;16.975;27.682;92.534;0.8827;0.7201;-17.164;-0.2258;-0.0828;-0.1105;15814.9;5.0;50.612;-2.544.956;-49.234.924;914.6;NaN;;26.5;;13 / 17;386508;2023-06-30 10:42:50:854
21.688;25.509;98.295;2.229;28.376;91.187;0.4978;-0.0131;0.6618;-0.0028;-0.2305;-0.535;15814.9;5.0;48.474;-2.544.956;-49.234.924;914.6;NaN;;26.5;;13 / 17;387009;2023-06-30 10:42:51:355
-0.2716;3.268;81.096;0.8701;33.819;91.638;-11.097;-11.062;14.689;0.5851;0.2734;-0.0747;15814.9;5.0;53.001;-2.544.956;-49.234.924;914.6;NaN;;26.5;;dez/16;387509;2023-06-30 10:42:51:855
15.936;30.983;98.502;0.6783;35.229;91.269;0.0756;-0.3031;0.7847;-0.2156;-0.3696;11.284;15814.9;5.0;51.327;-2.544.956;-49.234.924;914.6;NaN;;26.5;;dez/16;388009;2023-06-30 10:42:52:355
0.7363;35.555;91.408;1.219;34.317;91.054;-0.6074;0.1064;0.0175;0.085;0.3156;0.6087;15814.9;5.0;46.528;-2.544.956;-49.234.924;914.6;NaN;;26.5;;nov/15;388509;2023-06-30 10:42:52:855
13.334;41.376;92.807;0.9785;34.027;91.452;0.2929;0.7633;0.0849;-0.0931;0.2117;0.2804;18077.3;5.0;47.056;-2.544.956;-49.234.924;914.6;NaN;;26.5;;nov/15;389009;2023-06-30 10:42:53:355
0.8378;3.548;99.332;0.6778;32.462;92.289;0.4837;0.2922;0.3501;0.1314;-0.1293;-0.3794;18077.3;5.0;53.096;-2.544.956;-49.234.924;914.6;NaN;;26.5;;14 / 18;389509;2023-06-30 10:42:53:855
0.3674;38.879;91.049;11.397;39.802;88.899;-0.9454;0.2474;0.5601;0.3923;0.0518;0.7475;18077.3;5.0;52.229;-2.544.956;-49.234.924;914.6;NaN;;26.5;;14 / 18;390009;2023-06-30 10:42:54:355
0.6546;31.758;90.507;14.543;43.811;86.522;-11.562;-12.071;0.2389;0.1358;0.7165;1.24;18077.3;5.0;47.767;-2.544.956;-49.234.924;914.6;NaN;;26.5;;dez/16;390509;2023-06-30 10:42:54:855
10.052;4.62;82.827;0.836;37.103;90.391;10.255;-0.4562;0.4639;-0.2329;0.4308;-0.016;18077.3;5.0;47.483;-2.544.956;-49.234.924;914.6;NaN;;26.5;;dez/16;391009;2023-06-30 10:42:55:355
-0.3183;44.888;92.456;0.225;34.265;91.858;11.885;14.041;-0.4778;0.7798;0.489;-0.3884;18077.3;5.0;45.328;-2.544.956;-49.234.924;914.6;NaN;;26.5;;14 / 18;391509;2023-06-30 10:42:55:855
-0.4429;41.073;8.554;-0.4954;4.416;87.421;-0.2355;-0.6797;-0.1951;-0.4631;-0.0091;-0.6739;18077.3;5.0;47.24;-2.544.956;-49.234.924;914.6;NaN;;26.5;;14 / 18;392010;2023-06-30 10:42:56:356
-10.525;31.782;91.127;-0.9395;37.457;90.143;-0.1943;-0.1975;0.0974;0.3968;0.0261;0.0534;18077.3;5.0;61.538;-2.544.956;-49.234.924;914.6;NaN;;26.5;;dez/17;392509;2023-06-30 10:42:56:855
-23.329;43.984;7.744;-10.632;38.954;89.368;-14.364;0.1828;-0.4274;-0.0506;-0.3434;-0.0161;18077.3;5.0;60.347;-2.544.956;-49.234.924;914.6;NaN;;26.5;;dez/17;393010;2023-06-30 10:42:57:356
-0.6761;36.262;94.211;-0.2823;33.256;92.212;-0.0436;0.407;0.4809;0.1964;-0.0723;0.1952;18077.3;5.0;58.144;-2.544.956;-49.234.924;914.6;NaN;;26.5;;dez/17;393508;2023-06-30 10:42:57:854
0.2662;4.213;8.777;-0.1952;39.491;89.742;0.3791;0.1449;0.3247;0.0202;-0.1154;-0.1238;18077.3;5.0;58.621;-2.544.956;-49.234.924;914.6;NaN;;26.5;;dez/17;394011;2023-06-30 10:42:58:357
